강좌명,강좌내용,운영기관명,교육장도로명주소,홈페이지주소,수강료,시군명,구
[화성시민대학] AI로 만드는 나만의 그림책(봉담),AI그림책,경기도 화성시청 평생학습과,경기도 화성시 효행구 봉담읍 효행로 212,https://u-life.hscity.go.kr/edu/index.do,20000,화성시,효행구
[화성시민대학] 디자인부터 AI 콘텐츠 제작까지: 캔바활용지도사 자격증 과정(봉담),캔바활용지도사,경기도 화성시청 평생학습과,경기도 화성시 효행구 봉담읍 효행로 212,https://u-life.hscity.go.kr/edu/index.do,24000,화성시,효행구
[화성시민대학] Young Learners TESOL(국제영어교사: 어린이 테솔 과정)(봉담),어린이테솔과정,경기도 화성시청 평생학습과,경기도 화성시 효행구 봉담읍 효행로 212,https://u-life.hscity.go.kr/edu/index.do,90000,화성시,효행구
[화성시민대학] AI와 함께하는 슬기로운 자산관리(봉담),자산관리,경기도 화성시청 평생학습과,경기도 화성시 효행구 봉담읍 효행로 212,https://u-life.hscity.go.kr/edu/index.do,16000,화성시,효행구
[화성시민대학] 생성형 AI 융합지도사 자격증 과정(동탄),생성형AI융합지도사,경기도 화성시청 평생학습과,경기도 화성시 동탄구 10용사로 343-14,https://u-life.hscity.go.kr/edu/index.do,20000,화성시,동탄구
[화성시민대학] AI와 함께하는 슬기로운 자산관리(동탄),자산관리,경기도 화성시청 평생학습과,경기도 화성시 동탄구 10용사로 343-14,https://u-life.hscity.go.kr/edu/index.do,16000,화성시,동탄구
"[화성시민대학][시민학] 스마트 시민, 안전한 화성: 디지털안전교육 지도사 과정(동탄)",디지털안전교육,경기도 화성시청 평생학습과,경기도 화성시 동탄구 10용사로 343-14,https://u-life.hscity.go.kr/edu/index.do,0,화성시,동탄구
AI활용 심화과정,챗 GPT의 이해 강의,경기도 김포시청 교육청소년과,경기도 김포시 김포한강1로 242(운양동),https://gimpo.gseek.kr/,42000,김포시,김포시
(온라인)컴퓨터 중급(AI 활용),(온라인)컴퓨터 중급 강의,경기도 김포시청 교육청소년과,경기도 김포시 사우중로1,https://gimpo.gseek.kr/,0,김포시,김포시
디지털 스마트폰 활용(키오스크 활용),스마트폰 활용 등,경기도 김포시청 교육청소년과,경기도 김포시 김포한강1로 242(운양동),https://gimpo.gseek.kr/,42000,김포시,김포시
디지털드로잉,디지털드로잉 강의,경기도 김포시청 교육청소년과,경기도 김포시 김포한강1로 242(운양동),https://gimpo.gseek.kr/,42000,김포시,김포시
컴퓨터 왕초보+스마트폰 활용,"컴퓨터와 스마트폰, 이제 낯설고 어렵지 않아요 주민센터 정보화 교육에서 실생활에 유용한 기술을 배워보세요. 인터넷 검색, 동영상 시청, 사진과 메시지 관리, 다양한 앱 활용, Chat GPT까지 가족과 더 가까워지고, 일상을 더욱 편리하게 만드는 디지털 활용법을 알려드립니다. 초보자도 쉽게 따라올 수 있도록 차근차근 진행하며 자신감을 키워드립니다. 디지털 세상에 첫발을 내딛는 기쁨과 일상의 변화를 시작하세요",대원1동 행정복지센터,경기도 오산시 오산로132번길 28,https://osanedu.go.kr/app/app0101/selectBsnsView.do,60000,오산시,오산시
기초스마트폰 및 인공지능 AI활용법,기초부터 초보들에 눈높이에 딱 맞춰 수업을 진행하려고 합니다.,신장1동 행정복지센터,경기도 오산시 문헌공로 45,https://osanedu.go.kr/app/app0101/selectBsnsView.do,30000,오산시,오산시
"컴퓨터(초급) 인터넷, 스마트폰활용, 인공지능 AI활용",어른들을 위한  컴퓨터 및 스마트폰 활용 교육 입니다.,신장1동 행정복지센터,경기도 오산시 문헌공로 45,https://osanedu.go.kr/app/app0101/selectBsnsView.do,60000,오산시,오산시
"컴퓨터교실(엑셀,파워포인트)","프리젠테이션을 작성하고 편집할 수 있고, 엑셀을 이용하여 셀을 편집하고 함수를 활용하여 계산할 수 있는 과정입니다. 인공지능을 활용하여 프레젠테이션을 작성할 수 있습니다. 컴퓨터기초+중급과정으로 초보자도 신청할 수 있습니다.",남촌동 행정복지센터,경기도 오산시 청학로 55-5,https://osanedu.go.kr/app/app0101/selectBsnsView.do,60000,오산시,오산시
AI로 세계여행하기,AI로 세계여행하기 수업을 진행합니다.,경기도 동두천시 미래교육진흥원,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",edu.ddc.go.kr,40000,동두천시,동두천시
AI로 만드는 나만의 음악,AI로 나만의 음악 만들기 수업을 진행합니다.,경기도 동두천시 미래교육진흥원,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",edu.ddc.go.kr,40000,동두천시,동두천시
AI이용한 영상편집,영상제작 수업을 진행합니다.,경기도 동두천시 미래교육진흥원,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",edu.ddc.go.kr,40000,동두천시,동두천시
AI 한글&엑셀,한글&엑셀 수업을 진행합니다.,경기도 동두천시 미래교육진흥원,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",edu.ddc.go.kr,40000,동두천시,동두천시
AI활용 블로그&동영상제작,블로그&동영상제작 수업을 진행합니다.,경기도 동두천시 미래교육진흥원,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",edu.ddc.go.kr,40000,동두천시,동두천시
디지털 드로잉,이비스페인트X 프로그램 활용법을 알고 나만의 디지털 드로잉 작품 만들기,위례평생학습관,경기도 성남시 수정구 위례동로 91,https://sugang.seongnam.go.kr/,15000,성남시,수정구
온라인 궁궐투어,조선시대 궁궐을 VR로 둘러보며 시대 이야기,위례평생학습관,경기도 성남시 수정구 위례동로 91,https://sugang.seongnam.go.kr/,10000,성남시,수정구
엔트리로 배우는 인공지능 원리,인공지능을 활용한 체험활동을 통해 인공지능 개념과 학습방법을 이해,위례평생학습관,경기도 성남시 수정구 위례동로 91,https://sugang.seongnam.go.kr/,15000,성남시,수정구
딜라이텍스로 만드는 나만의 메타버스,딜라이텍스를 활용해 자신만의 창의적인 메타버스 제작,위례평생학습관,경기도 성남시 수정구 위례동로 91,https://sugang.seongnam.go.kr/,15000,성남시,수정구
AI활용과 디자인 플랫폼,AI를 디자인 플랫폼과 결합하여 업무와 일상에서 적용해보기,성남시 평생학습관,경기도 성남시 분당구 판교로 546,https://sugang.seongnam.go.kr/,30000,성남시,분당구
AI디지털 생활,"건강, 돈, 추억, 계획 AI로 쉽게 정리하기",성남시 평생학습관,경기도 성남시 분당구 판교로 546,https://sugang.seongnam.go.kr/,30000,성남시,분당구
디지털드로잉,디지털 드로잉 기법을 통해 나만의 굿즈 만들기,성남시 평생학습관,경기도 성남시 분당구 판교로 546,https://sugang.seongnam.go.kr/,30000,성남시,분당구
(2025년도 하반기 평생교육) 슬기로운 디지털 생활,디지털 리터러시,경기도교육청의정부도서관,경기도 의정부시 체육로 265-25,https://lib.goe.go.kr/ujb/index.do,0,의정부시,의정부시
AI리터러시,인공지능의 개념과 역사에 대해 배워보기,경기도 여주시청,경기도 여주시 신륵사길 6-6,https://yeoju.gseek.kr/user/main,40000,여주시,여주시
[비대면]컨텐츠디자인(with 캔바),텍스트 디자인부터 ai 생성 이미지를 활용한 디자인,경기도 여주시청,경기도 여주시 신륵사길 6-6,https://yeoju.gseek.kr/user/main,40000,여주시,여주시
[옥정]대화형 인공지능 Chat GPT,직업/자격증,양주시 평생학습관,"경기도 양주시 옥정동로7길 110 옥정동, 옥정호수도서관 지하",https://www.gseek.kr,0,양주시,양주시
[옥정]픽슬러 & 미리캔버스 사진편집과 Vrew 영상제작,직업/자격증,양주시 평생학습관,"경기도 양주시 옥정동로7길 110 옥정동, 옥정호수도서관 지하",https://www.yangju.go.kr/lll/index.do,30000,양주시,양주시
[옥정]픽슬러 & 미리캔버스 사진편집과 Vrew 영상제작,직업/자격증,양주시 평생학습관,"경기도 양주시 옥정동로7길 110 옥정동, 옥정호수도서관 지하",https://www.yangju.go.kr/lll/index.do,30000,양주시,양주시
[옥정]유초등코딩지도사 양성과정,직업/자격증,양주시 평생학습관,"경기도 양주시 옥정동로7길 110 옥정동, 옥정호수도서관 지하",https://www.yangju.go.kr/lll/index.do,30000,양주시,양주시
[덕계]파이썬과 데이터 분석,직업/자격증,양주시 평생학습관,"경기도 양주시 평화로1475번길 39, (덕계동) 회천2동 행정복지센터 5층",https://www.gseek.kr,0,양주시,양주시
[옥정]대화형 인공지능 Chat GPT,직업/자격증,양주시 평생학습관,"경기도 양주시 옥정동로7길 110 옥정동, 옥정호수도서관 지하",https://www.gseek.kr,0,양주시,양주시
[덕계]파이썬과 데이터 분석,직업/자격증,양주시 평생학습관,"경기도 양주시 평화로1475번길 39, (덕계동) 회천2동 행정복지센터 5층",https://www.gseek.kr,0,양주시,양주시
chatGPT & AI 활용(중급반),ChatGPT를 중심으로 생성형 AI의 개념과 실생활 및 업무 활용 중심,경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,20000,광주시,광주시
