강좌명,운영기관명,구,교육대상구분,카테고리,홈페이지주소
평생학습축제 (보리아트)무드등 만들기 오후1시반 -25년 4분기,경기도 수원시평생학습관,팔달구,성인,학습/진로,http://learning.suwon.go.kr
[수원시 평생학습축제]우리쌀로 전통 떡 만들기,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
[수원시평생학습축제] 2차시- 케데헌 호랑이 나무 컵받침 만들기,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
[수원시평생학습축제] 1차시- 케데헌 호랑이 나무 컵받침 만들기,경기도 수원시평생학습관,팔달구,전체,학습/진로,http://learning.suwon.go.kr
채운의 개념으로 읽는 철학 4분기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]향수이야기 원데이 클래스 10월,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[독서토론]먼저 온 미래-AI 이후의 세계를 경험한 사람들,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[조영호 명예교수] AI와 함께하는 시니어 행복멘탈코칭,경기도 수원시평생학습관,팔달구,시니어,AI/코딩,http://learning.suwon.go.kr
2025년 올해의 노벨상,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"인권으로 노동을 본다, 노동으로 사회를 본다 [안녕, 시민]",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[정신건강 프로젝트] 건강한 애도와 회복의 길,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[뭐라도학교] 10월담 나는 왕이로소이다,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[우리들교실] 창의 전래놀이,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
무지한스승의만남 - 프랑스어 시작,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]숲해설가가 번역하는 숲의 언어,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교_나침반 특강]읽고 쓰는 생활_계속 읽기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
007특강 마음의 안정을 주는 싱잉볼 명상(25년 4분기)-마감,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]온라인 단편낭독 11월_배명훈「화성과 나」,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
강유원의 옥스퍼드 세계사 읽기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]교육연극으로 풀어보는 나이[듦과 삶]의 완성 4,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
